Symbol,Start Price,End Price,Shares,Final Value,Return [%]
AAPL,184.53208923339844,251.9230194091797,45.15926399550613,11376.658140044161,36.51989768052992
AAPL,0.8421506285667419,251.9230194091797,9895.300259427286,2492853.919315361,29814.24703178433
ADBE,16.274677276611328,445.7999877929688,512.0429235982048,228268.72908955574,2639.2247490746686
AMZN,4.46875,221.3000030517578,1864.801864801865,412680.65837157634,4852.167900458916
GOOGL,2.499062776565552,191.0200042724609,3334.5834332284307,636972.1416621722,7543.665699946066
META,38.05066680908203,590.7144165039062,219.00623647794558,129370.14119178613,1452.4416943014335
MSFT,35.79231643676758,423.9798583984375,232.82464402815057,98712.9596067219,1084.5555152806628
NFLX,1.1964290142059326,900.4299926757812,6965.171551664642,6271649.369250953,75159.79243101145
NVDA,0.0894314348697662,137.47735595703125,93181.25495211704,12810312.555575076,153623.7506669009
PYPL,36.709999084472656,85.43000030517578,227.00445494857314,19392.990655532867,132.71588786639438
QQQ,80.31430053710938,514.8422241210938,103.75902270957215,53419.5260244272,541.0343122931264
TSLA,1.5926669836044312,417.4100036621094,5232.313734836029,2184020.095219212,26108.241142630544
